iter	Logloss
0	0.6894124603
1	0.6862515259
2	0.6824383545
3	0.6785777283
4	0.675062027
5	0.6717264557
6	0.6681437683
7	0.6649978638
8	0.6619806671
9	0.6588670349
10	0.6559370422
11	0.6525822449
12	0.6492274475
13	0.6464042664
14	0.642565155
15	0.6393600464
16	0.6362509155
17	0.6331749725
18	0.6303356934
19	0.6275824738
20	0.6250384521
21	0.6222766876
22	0.6195084
23	0.6171866989
24	0.6146563721
25	0.6121855927
26	0.6097232819
27	0.6077642822
28	0.605827179
29	0.603804245
30	0.6019125366
31	0.5996934509
32	0.5978253555
33	0.5960584259
34	0.5939266205
35	0.5921324158
36	0.5903089905
37	0.588093071
38	0.5862945557
39	0.5844216156
40	0.58257164
41	0.5806413269
42	0.5783882141
43	0.5763680267
44	0.5745401001
45	0.5727050018
46	0.570779686
47	0.5689985275
48	0.5676454544
49	0.5660377502
50	0.5646237946
51	0.5638110352
52	0.5621237564
53	0.5606658936
54	0.5596179962
55	0.5576913452
56	0.55651474
57	0.554746933
58	0.5531053925
59	0.5519052505
60	0.5502970505
61	0.5487604523
62	0.547184906
63	0.5453282547
64	0.5442453384
65	0.5428134918
66	0.5415823364
67	0.540349617
68	0.5391225433
69	0.5376609421
70	0.5365696716
71	0.5351786041
72	0.5338626862
73	0.5323829651
74	0.5310577393
75	0.5298498535
76	0.5285906982
77	0.5273911667
78	0.5265390778
79	0.5249572754
80	0.5238444901
81	0.5224287033
82	0.5211569977
83	0.5197440338
84	0.5186301422
85	0.5175082016
86	0.5164588547
87	0.5157441711
88	0.5147773743
89	0.5136606979
90	0.512599411
91	0.5114831161
92	0.5106573868
93	0.5096381378
94	0.5088243866
95	0.5082113647
96	0.5072745514
97	0.5067993927
98	0.5059288025
99	0.5050577545
100	0.5041781235
101	0.5028671265
102	0.502208519
103	0.5011479568
104	0.5002377319
105	0.4991747665
106	0.4981037903
107	0.4972952271
108	0.4965580368
109	0.4959270096
110	0.495248642
111	0.49465271
112	0.4938983917
113	0.4929961014
114	0.4920635605
115	0.4910655212
116	0.4901164246
117	0.4897734451
118	0.4889919281
119	0.4883387375
120	0.487447052
121	0.4862767029
122	0.4856928253
123	0.4850878143
124	0.4842741776
125	0.4834454727
126	0.4827445984
127	0.4819352341
128	0.4811241913
129	0.4803096008
130	0.4796650696
131	0.4788238525
132	0.4781695175
133	0.4774520493
134	0.4764711761
135	0.4758695984
136	0.4750175095
137	0.4740977097
138	0.4736653519
139	0.4728559875
140	0.4723496246
